"","Q3.Attitude","Q10.Attitude","Q13.Attitude","Q1.AI.in.MC","Q3.AI.in.MC","Q2.preception"
"Q3.Attitude",1,0.38104893760485,0.33410858711422,0.030544008727537,0.115091132521434,-0.154736028698565
"Q10.Attitude",0.38104893760485,1,0.317205596435888,0.0809155021590775,0.0307806962271308,-0.188421017566777
"Q13.Attitude",0.33410858711422,0.317205596435888,1,-0.00878311098571318,0.0301019308002435,-0.087581651701451
"Q1.AI.in.MC",0.030544008727537,0.0809155021590775,-0.00878311098571318,1,0.357207852199252,-0.102458371050374
"Q3.AI.in.MC",0.115091132521434,0.0307806962271308,0.0301019308002435,0.357207852199252,1,-0.11862215024463
"Q2.preception",-0.154736028698565,-0.188421017566777,-0.087581651701451,-0.102458371050374,-0.11862215024463,1
