"","Dependent: A3"," ","0","1","OR (univariable)","OR (multivariable)"
"3","grade_merged","Academic years","894 (60.2)","591 (39.8)","-","-"
"4","","Clinical Years","899 (63.6)","515 (36.4)","0.87 (0.75-1.01, p=0.061)","0.83 (0.72-0.97, p=0.021)"
"1","AI_training_q","No","1706 (64.5)","940 (35.5)","-","-"
"2","","Yes","87 (34.4)","166 (65.6)","3.46 (2.65-4.56, p<0.001)","2.81 (2.12-3.76, p<0.001)"
"6","knowledge_merged2","low","1599 (64.7)","874 (35.3)","-","-"
"5","","high/moderate","194 (45.5)","232 (54.5)","2.19 (1.78-2.69, p<0.001)","1.69 (1.35-2.12, p<0.001)"
