"","Dependent: ai_mc_1"," ","0","1","OR (univariable)","OR (multivariable)"
"3","grade_merged","Academic years","236 (12.5)","1657 (87.5)","-","-"
"4","","Clinical Years","204 (12.2)","1475 (87.8)","1.03 (0.84-1.26, p=0.774)","1.02 (0.83-1.25, p=0.848)"
"1","AI_training_q","No","390 (11.8)","2914 (88.2)","-","-"
"2","","Yes","50 (18.7)","218 (81.3)","0.58 (0.43-0.82, p=0.001)","0.44 (0.31-0.63, p<0.001)"
"6","knowledge_merged2","low","401 (12.9)","2707 (87.1)","-","-"
"5","","high/moderate","39 (8.4)","425 (91.6)","1.61 (1.16-2.31, p=0.006)","2.09 (1.46-3.08, p<0.001)"
