"","label","levels","Algeria","Egypt","Iraq","Jordan","Libya","Palestine","Sudan","Syria","Yemen","Total","p"
"1","AI_in_MC_levels","high","119 (27.2)","174 (30.9)","247 (46.3)","168 (33.1)","356 (48.8)","144 (37.1)","222 (46.8)","149 (31.4)","129 (33.6)","1708 (38.0)","<0.001"
"2","","low","169 (38.7)","158 (28.1)","92 (17.3)","115 (22.6)","120 (16.4)","67 (17.3)","91 (19.2)","145 (30.5)","93 (24.2)","1050 (23.4)",""
"3","","moderate","149 (34.1)","231 (41.0)","194 (36.4)","225 (44.3)","254 (34.8)","177 (45.6)","161 (34.0)","181 (38.1)","162 (42.2)","1734 (38.6)",""
