"","label","levels","Algeria","Egypt","Iraq","Jordan","Libya","Palestine","Sudan","Syria","Yemen","Total","p"
"1","attitude_levels","low","298 (68.2)","364 (64.7)","340 (63.8)","342 (67.3)","452 (61.9)","248 (63.9)","276 (58.2)","309 (65.1)","248 (64.6)","2877 (64.0)","0.072"
"2","","moderate","139 (31.8)","199 (35.3)","193 (36.2)","166 (32.7)","278 (38.1)","140 (36.1)","198 (41.8)","166 (34.9)","136 (35.4)","1615 (36.0)",""
