"","label","levels","Algeria","Egypt","Iraq","Jordan","Libya","Palestine","Sudan","Syria","Yemen","Total","p"
"1","deep_learning_levels","high","13 (3.0)","22 (3.9)","15 (2.8)","33 (6.5)","37 (5.1)","16 (4.1)","26 (5.5)","41 (8.6)","12 (3.1)","215 (4.8)","<0.001"
"2","","low","395 (90.4)","469 (83.3)","451 (84.6)","411 (80.9)","593 (81.2)","327 (84.3)","409 (86.3)","373 (78.5)","334 (87.0)","3762 (83.7)",""
"3","","moderate","29 (6.6)","72 (12.8)","67 (12.6)","64 (12.6)","100 (13.7)","45 (11.6)","39 (8.2)","61 (12.8)","38 (9.9)","515 (11.5)",""
