"","label","levels","Algeria","Egypt","Iraq","Jordan","Libya","Palestine","Sudan","Syria","Yemen","Total","p"
"1","knowledge_levels","low","402 (92.0)","484 (86.0)","458 (85.9)","430 (84.6)","629 (86.2)","335 (86.3)","440 (92.8)","400 (84.2)","336 (87.5)","3914 (87.1)","<0.001"
"2","","high","4 (0.9)","9 (1.6)","13 (2.4)","17 (3.3)","13 (1.8)","8 (2.1)","5 (1.1)","23 (4.8)","7 (1.8)","99 (2.2)",""
"3","","moderate","31 (7.1)","70 (12.4)","62 (11.6)","61 (12.0)","88 (12.1)","45 (11.6)","29 (6.1)","52 (10.9)","41 (10.7)","479 (10.7)",""
